Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
Uhvw0015tser;Unelle халат вафельный женский короткий темно-серый;42-44;темно-серый;Халат вафельный;Классический вафельный;женский;519
Uhmw006tsin;Unelle халат махровый женский темно-синий с белым кантом Леша;42-44;темно-синий;Халат махровый;Дизайнерский махровый;женский;1677
Uhvw0007cher;Unelle халат вафельный женский черный с белым кантом;42-44;черный;Халат вафельный;Дизайнерский вафельный;женский;713
UhvW0003bakl;Unelle халат вафельный женский с капюшоном баклажановый;46-48;баклажан;Халат вафельный;Классический вафельный;женский;926
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;46-48;бежевый;Халат махровый;Классический махровый;женский;1130
Uhvw0015bezh;Unelle халат вафельный женский короткий бежевый;46-48;бежевый;Халат вафельный;Классический вафельный;женский;519
Uhvw0007bezh;Unelle халат вафельный женский бежевый с черным кантом;46-48;бежевый;Халат вафельный;Дизайнерский вафельный;женский;690
Uhmw0003bel;Unelle халат махровый женский белый Лена;46-48;белый;Халат махровый;Классический махровый;женский;1405
UhmW0015bel;Unelle халат махровый женский короткий Chloe белый;46-48;белый;Халат махровый;Классический махровый;женский;788
UhmW0014bel;Unelle халат махра-велюр женский белый;46-48;белый;Халат махровый;Дизайнерский махровый;женский;1365
UhvW0003bel;Unelle халат вафельный женский с капюшоном белый;46-48;белый;Халат вафельный;Классический вафельный;женский;937
Uhvw0015bel;Unelle халат вафельный женский короткий белый;46-48;белый;Халат вафельный;Классический вафельный;женский;519
Uhvw0012bel-zel;Unelle халат вафельный женский Olivia;46-48;белый зеленый;Халат вафельный;Дизайнерский вафельный;женский;770
Uhvw0007gol;Unelle халат вафельный женский голубой с бежевым кантом;46-48;Голубой;Халат вафельный;Дизайнерский вафельный;женский;689
UhmW0015graf;Unelle халат махровый женский короткий Chloe графитовый;46-48;графитовый;Халат махровый;Классический махровый;женский;788
Uhmw0003izu;Unelle халат махровый женский изумрудный Лена;46-48;Изумрудный;Халат махровый;Классический махровый;женский;1161
UhmW0001kup;Unelle халат махровый женский с капюшоном капучино Лена;46-48;капучино;Халат махровый;Классический махровый;женский;1684
Uhmw0003kup;Unelle халат махровый женский капучино Лена;46-48;Капучино;Халат махровый;Классический махровый;женский;1320
UhmW0015kup;Unelle халат махровый женский короткий Chloe капучино;46-48;капучино;Халат махровый;Классический махровый;женский;788
Uhvw0008kap;Unelle халат вафельный женский Adele капучино;46-48;Капучино;Халат вафельный;Дизайнерский вафельный;женский;975
UhmW0011lav;Unelle халат махровый женский Nina Richi Rose lilac Лена;46-48;лаванда;Халат махровый;Дизайнерский махровый;женский;1139
UhmW0014lat;Unelle халат махра-велюр женский латте;46-48;латте;Халат махровый;Дизайнерский махровый;женский;1347
Uhvw0008milk;Unelle халат вафельный женский Adele молочный;46-48;молочный;Халат вафельный;Дизайнерский вафельный;женский;958
UhmW0008mol/gol;Unelle халат махровый женский в узкую полоску молочный/голубой Лена;46-48;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1302
UhmW0012mol/gol;Unelle халат махровый женский с капюшоном в узкую полоску молочно-голубой Лена;46-48;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1517
Uhvw0013mol-graf;Unelle халат жаккардовый женский Terry молочно-графитовый;46-48;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;1192
Uhvw0014mol-graf;Unelle халат жаккардовый женский короткий Terry молочно-графитовый;46-48;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;793
UhmW0008mol/roz;Unelle халат махровый женский в узкую полоску молочный/розовый Лена;46-48;молочный розовый;Халат махровый;Дизайнерский махровый;женский;1395
UhvW0003mint;Unelle халат вафельный женский с капюшоном мятный;46-48;мятный;Халат вафельный;Классический вафельный;женский;926
Uhvw0004mint;Unelle халат вафельный женский мятный;46-48;Мятный;Халат вафельный;Классический вафельный;женский;675
Uhmw006pbir;Unelle халат махровый женский пыльная бирюза с белым кантом Леша;46-48;пыльно-бирюзовый;Халат махровый;Дизайнерский махровый;женский;1772
UhmW0001pbor;Unelle халат махровый женский с капюшоном пыльно-бордовый Лена;46-48;пыльно-бордовый;Халат махровый;Классический махровый;женский;1565
UhmW0015proz;Unelle халат махровый женский короткий Chloe пыльно-розовый;46-48;пыльно-розовый;Халат махровый;Классический махровый;женский;788
Uhmw006proz;Unelle халат махровый женский пыльная роза с черным кантом Леша;46-48;пыльно-розовый;Халат махровый;Дизайнерский махровый;женский;1785
Uhvw0004ser-kor;Unelle халат вафельный женский серо-коричневый;46-48;Серо-коричневый;Халат вафельный;Классический вафельный;женский;664
UhmW0001ser;Unelle халат махровый женский с капюшоном серый Лена;46-48;серый;Халат махровый;Классический махровый;женский;1619
Uhmw0003ser;Unelle халат махровый женский серый Лена;46-48;серый;Халат махровый;Классический махровый;женский;1130
UhmW0011ser;Unelle халат махровый женский Nina Richi Pale Gray Лена;46-48;серый;Халат махровый;Дизайнерский махровый;женский;1137
Uhvw0007ser;Unelle халат вафельный женский серый с черным кантом;46-48;серый;Халат вафельный;Дизайнерский вафельный;женский;693
Uhvw0008ser;Unelle халат вафельный женский Adele серый;46-48;серый;Халат вафельный;Дизайнерский вафельный;женский;975
UhmW0011sir;Unelle халат махровый женский Nina Richi Cowberry Лена;46-48;сиреневый;Халат махровый;Дизайнерский махровый;женский;1145
Uhvw0008sir;Unelle халат вафельный женский Adele сиреневый;46-48;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;977
Uhmw0003maslo;Unelle халат махровый женский сливочное масло;46-48;сливочное масло;Халат махровый;Классический махровый;женский;1201
UhmW0015maslo;Unelle халат махровый женский короткий Chloe сливочное масло;46-48;сливочное масло;Халат махровый;Классический махровый;женский;788
Uhvw0015tser;Unelle халат вафельный женский короткий темно-серый;46-48;темно-серый;Халат вафельный;Классический вафельный;женский;519
Uhmw006tsin;Unelle халат махровый женский темно-синий с белым кантом Леша;46-48;темно-синий;Халат махровый;Дизайнерский махровый;женский;1818
Uhvw0007cher;Unelle халат вафельный женский черный с белым кантом;46-48;черный;Халат вафельный;Дизайнерский вафельный;женский;740
UhvW0003bakl;Unelle халат вафельный женский с капюшоном баклажановый;50-52;баклажан;Халат вафельный;Классический вафельный;женский;935
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;50-52;бежевый;Халат махровый;Классический махровый;женский;1187
Uhvw0007bezh;Unelle халат вафельный женский бежевый с черным кантом;50-52;бежевый;Халат вафельный;Дизайнерский вафельный;женский;730
Uhmw0003bel;Unelle халат махровый женский белый Лена;50-52;белый;Халат махровый;Классический махровый;женский;1422
UhmW0014bel;Unelle халат махра-велюр женский белый;50-52;белый;Халат махровый;Дизайнерский махровый;женский;1427
UhvW0003bel;Unelle халат вафельный женский с капюшоном белый;50-52;белый;Халат вафельный;Классический вафельный;женский;937
Uhvw0012bel-zel;Unelle халат вафельный женский Olivia;50-52;белый зеленый;Халат вафельный;Дизайнерский вафельный;женский;821
Uhvw0007gol;Unelle халат вафельный женский голубой с бежевым кантом;50-52;Голубой;Халат вафельный;Дизайнерский вафельный;женский;727
UhmM0009graf;Unelle халат махра-велюр мужской с капюшоном графитовый Лена;50-52;графитовый;Халат махровый;Классический махровый;мужской;1773
Uhmm0010graf;Unelle халат махровый мужской графитовый Лена;50-52;графитовый;Халат махровый;Классический махровый;мужской;1481
UhvM0003graf;Unelle халат вафельный мужской с капюшоном графитовый;50-52;графитовый;Халат вафельный;Классический вафельный;мужской;977
Uhvm0007graf;Unelle халат вафельный мужской графитовый с белым кантом;50-52;графитовый;Халат вафельный;Дизайнерский вафельный;мужской;775
